pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
CISMICHIOI,intrare_pers,3,HistGradientBoosting,2.0153450609330643,3.2660352097528427,26304,20906.0,5227.0
CISMICHIOI,intrare_pers,3,RandomForest,2.1325105023833113,3.4154529831065457,26304,20906.0,5227.0
CISMICHIOI,intrare_pers,24,Baseline_yesterday,2.666742770167428,4.639951254139581,26304,,
CISMICHIOI,intrare_pers,24,HistGradientBoosting,2.0477516670444236,3.2733108168018012,26304,20889.0,5223.0
CISMICHIOI,intrare_pers,24,RandomForest,2.1358807640096034,3.390510484555603,26304,20889.0,5223.0
CLOCUSNA,iesire_pers,1,Baseline_yesterday,0.9813926940639269,2.6196264852788516,26304,,
CLOCUSNA,iesire_pers,1,HistGradientBoosting,0.7451570502173066,1.4243385228182412,26304,20908.0,5227.0
CLOCUSNA,iesire_pers,1,RandomForest,0.8181855779926152,1.6525335672259645,26304,20908.0,5227.0
CLOCUSNA,iesire_pers,3,Baseline_yesterday,0.9813926940639269,2.6196264852788516,26304,,
CLOCUSNA,iesire_pers,3,HistGradientBoosting,0.7504838866627457,1.4569694949364098,26304,20906.0,5227.0
CLOCUSNA,iesire_pers,3,RandomForest,0.8248202135282411,1.6666320424180818,26304,20906.0,5227.0
CLOCUSNA,iesire_pers,24,Baseline_yesterday,0.9813926940639269,2.6196264852788516,26304,,
CLOCUSNA,iesire_pers,24,HistGradientBoosting,0.7494181250512301,1.4528951074285341,26304,20889.0,5223.0
CLOCUSNA,iesire_pers,24,RandomForest,0.8126866004971527,1.6423690192156724,26304,20889.0,5223.0
CLOCUSNA,intrare_pers,1,Baseline_yesterday,0.8537290715372907,2.3148485030526804,26304,,
CLOCUSNA,intrare_pers,1,HistGradientBoosting,0.6370268614738333,1.2999765274097337,26304,20908.0,5227.0
CLOCUSNA,intrare_pers,1,RandomForest,0.7229306129634996,1.4992567853496124,26304,20908.0,5227.0
CLOCUSNA,intrare_pers,3,Baseline_yesterday,0.8537290715372907,2.3148485030526804,26304,,
CLOCUSNA,intrare_pers,3,HistGradientBoosting,0.6585611455178599,1.3635966265835915,26304,20906.0,5227.0
CLOCUSNA,intrare_pers,3,RandomForest,0.7380249457912521,1.6001968823746957,26304,20906.0,5227.0
CLOCUSNA,intrare_pers,24,Baseline_yesterday,0.8537290715372907,2.3148485030526804,26304,,
CLOCUSNA,intrare_pers,24,HistGradientBoosting,0.6427924527391046,1.339225499807448,26304,20889.0,5223.0
CLOCUSNA,intrare_pers,24,RandomForest,0.700707302102381,1.4764806264338013,26304,20889.0,5223.0
COSTESTI,iesire_pers,1,Baseline_yesterday,32.4144596651446,45.75158920479243,26304,,
COSTESTI,iesire_pers,1,HistGradientBoosting,21.28614518190235,28.780545851096743,26304,20908.0,5227.0
COSTESTI,iesire_pers,1,RandomForest,22.382052802754924,30.373908684252783,26304,20908.0,5227.0
COSTESTI,iesire_pers,3,Baseline_yesterday,32.4144596651446,45.75158920479243,26304,,
COSTESTI,iesire_pers,3,HistGradientBoosting,21.475434704713795,28.803631671432488,26304,20906.0,5227.0
COSTESTI,iesire_pers,3,RandomForest,22.24523866462598,29.864758367210715,26304,20906.0,5227.0
COSTESTI,iesire_pers,24,Baseline_yesterday,32.4144596651446,45.75158920479243,26304,,
COSTESTI,iesire_pers,24,HistGradientBoosting,21.640648412731515,29.274506944689325,26304,20889.0,5223.0
COSTESTI,iesire_pers,24,RandomForest,22.345442753206967,30.53522470457212,26304,20889.0,5223.0
COSTESTI,intrare_pers,1,Baseline_yesterday,31.71522070015221,44.390838010100296,26304,,
COSTESTI,intrare_pers,1,HistGradientBoosting,22.133400634344973,29.17404643697118,26304,20908.0,5227.0
COSTESTI,intrare_pers,1,RandomForest,23.437945762387603,30.664565118377677,26304,20908.0,5227.0
COSTESTI,intrare_pers,3,Baseline_yesterday,31.71522070015221,44.390838010100296,26304,,
COSTESTI,intrare_pers,3,HistGradientBoosting,22.254804473601794,29.47267728358156,26304,20906.0,5227.0
COSTESTI,intrare_pers,3,RandomForest,23.315592117849626,30.77398520870506,26304,20906.0,5227.0
COSTESTI,intrare_pers,24,Baseline_yesterday,31.71522070015221,44.390838010100296,26304,,
COSTESTI,intrare_pers,24,HistGradientBoosting,22.129700408727874,29.180995173542204,26304,20889.0,5223.0
COSTESTI,intrare_pers,24,RandomForest,23.027338215584916,30.307170169902037,26304,20889.0,5223.0
CRIVA,iesire_pers,1,Baseline_yesterday,17.52557077625571,25.509294870884638,26304,,
CRIVA,iesire_pers,1,HistGradientBoosting,13.935020357745875,19.1482286723308,26304,20908.0,5227.0
CRIVA,iesire_pers,1,RandomForest,14.28561008146802,19.450307910576754,26304,20908.0,5227.0
CRIVA,iesire_pers,3,Baseline_yesterday,17.52557077625571,25.509294870884638,26304,,
CRIVA,iesire_pers,3,HistGradientBoosting,14.012521648165292,19.41845218658311,26304,20906.0,5227.0
CRIVA,iesire_pers,3,RandomForest,14.453927396211977,19.80499064825697,26304,20906.0,5227.0
CRIVA,iesire_pers,24,Baseline_yesterday,17.52557077625571,25.509294870884638,26304,,
