pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
PALANCA,intrare_auto,3,HistGradientBoosting,6.323721706727571,8.621150913698814,26304,20906.0,5227.0
CAHUL,intrare_auto,3,HistGradientBoosting,6.651127082795565,8.70382749834043,26304,20906.0,5227.0
TUDORA,intrare_auto,3,RandomForest,7.251326409352343,9.799145425455784,26304,20906.0,5227.0
GIURGIULESTI,intrare_auto,3,HistGradientBoosting,7.401747832684021,9.67481665009928,26304,20906.0,5227.0
LEUSENI,intrare_auto,3,HistGradientBoosting,13.872733184498726,18.759729898917215,26304,20906.0,5227.0
SCULENI,intrare_auto,3,HistGradientBoosting,13.952992239741024,18.994852310841033,26304,20906.0,5227.0
MEDVEJA,iesire_auto,24,HistGradientBoosting,0.12798783726989194,0.2607305877346297,26304,20889.0,5223.0
CLOCUSNA,iesire_auto,24,HistGradientBoosting,0.23931008415757873,0.4858734342489556,26304,20889.0,5223.0
GRIMANCAUTI,iesire_auto,24,HistGradientBoosting,0.4567290868309473,0.7170807369372578,26304,20889.0,5223.0
SAITI,iesire_auto,24,HistGradientBoosting,0.4827601317235841,0.7968875013354619,26304,20889.0,5223.0
CISMICHIOI,iesire_auto,24,HistGradientBoosting,0.9067912444334357,1.333359895696244,26304,20889.0,5223.0
OCNITA,iesire_auto,24,HistGradientBoosting,1.051727938964139,1.5659012744796106,26304,20889.0,5223.0
LARGA,iesire_auto,24,HistGradientBoosting,1.051847576357633,1.704572988248001,26304,20889.0,5223.0
BASARABEASCA,iesire_auto,24,HistGradientBoosting,1.1150373165405902,1.6432483783002854,26304,20889.0,5223.0
UNGURI,iesire_auto,24,HistGradientBoosting,1.355423165977388,2.112044761443283,26304,20889.0,5223.0
MIRNOE,iesire_auto,24,HistGradientBoosting,1.8589147864885434,2.512851610904591,26304,20889.0,5223.0
BRICENI,iesire_auto,24,HistGradientBoosting,1.8848173729374427,2.5530453027173494,26304,20889.0,5223.0
VULCANESTI,iesire_auto,24,HistGradientBoosting,2.1959487493179126,2.878080927356261,26304,20889.0,5223.0
RADAUTI,iesire_auto,24,HistGradientBoosting,2.7686833434367135,3.8706522396572227,26304,20889.0,5223.0
CRIVA,iesire_auto,24,HistGradientBoosting,3.4200212409956388,4.586615775780648,26304,20889.0,5223.0
OTACI,iesire_auto,24,HistGradientBoosting,3.650886156062273,4.735726853119393,26304,20889.0,5223.0
COSTESTI,iesire_auto,24,HistGradientBoosting,4.338638763382978,5.646221652743484,26304,20889.0,5223.0
RENI,iesire_auto,24,HistGradientBoosting,4.7182097554662485,5.946435502485805,26304,20889.0,5223.0
CAHUL,iesire_auto,24,HistGradientBoosting,5.742222195569419,7.539893161842628,26304,20889.0,5223.0
PALANCA,iesire_auto,24,HistGradientBoosting,6.446372042540761,8.73755810849919,26304,20889.0,5223.0
TUDORA,iesire_auto,24,RandomForest,6.490250694045568,9.14532453398802,26304,20889.0,5223.0
GIURGIULESTI,iesire_auto,24,HistGradientBoosting,7.654664288378939,9.98601110678892,26304,20889.0,5223.0
SCULENI,iesire_auto,24,HistGradientBoosting,11.337951485751818,15.878261222714416,26304,20889.0,5223.0
LEUSENI,iesire_auto,24,HistGradientBoosting,11.936815890597316,16.18474940823989,26304,20889.0,5223.0
MEDVEJA,intrare_auto,24,HistGradientBoosting,0.12446036811504867,0.25373111473501225,26304,20889.0,5223.0
CLOCUSNA,intrare_auto,24,HistGradientBoosting,0.2188437527214124,0.43924636081621665,26304,20889.0,5223.0
GRIMANCAUTI,intrare_auto,24,HistGradientBoosting,0.4030902718617015,0.6222649869617144,26304,20889.0,5223.0
SAITI,intrare_auto,24,HistGradientBoosting,0.4359246818473157,0.731084891731255,26304,20889.0,5223.0
CISMICHIOI,intrare_auto,24,HistGradientBoosting,0.7308689240243333,1.1641516461359995,26304,20889.0,5223.0
LARGA,intrare_auto,24,HistGradientBoosting,0.9484098210565326,1.7859500003027697,26304,20889.0,5223.0
OCNITA,intrare_auto,24,HistGradientBoosting,0.9939896607735683,1.5952736672559003,26304,20889.0,5223.0
BASARABEASCA,intrare_auto,24,HistGradientBoosting,1.049721739685023,1.6862743793643755,26304,20889.0,5223.0
UNGURI,intrare_auto,24,HistGradientBoosting,1.4362271101445117,2.1549631338915214,26304,20889.0,5223.0
BRICENI,intrare_auto,24,HistGradientBoosting,1.8323184090241773,2.621652243574978,26304,20889.0,5223.0
MIRNOE,intrare_auto,24,HistGradientBoosting,2.010505906048062,2.8502300399515637,26304,20889.0,5223.0
VULCANESTI,intrare_auto,24,HistGradientBoosting,2.346107666707599,3.226161354268099,26304,20889.0,5223.0
RADAUTI,intrare_auto,24,HistGradientBoosting,2.657572070006934,3.775564118541987,26304,20889.0,5223.0
RENI,intrare_auto,24,HistGradientBoosting,3.253205115328168,4.337546022340361,26304,20889.0,5223.0
OTACI,intrare_auto,24,HistGradientBoosting,3.716138106934824,4.823241353283495,26304,20889.0,5223.0
CRIVA,intrare_auto,24,HistGradientBoosting,3.847143696286957,5.138581981974166,26304,20889.0,5223.0
COSTESTI,intrare_auto,24,HistGradientBoosting,4.436909970200801,5.811404881120927,26304,20889.0,5223.0
PALANCA,intrare_auto,24,HistGradientBoosting,6.087220737031444,8.280966793178886,26304,20889.0,5223.0
CAHUL,intrare_auto,24,HistGradientBoosting,6.573271159716929,8.543277806818203,26304,20889.0,5223.0
TUDORA,intrare_auto,24,RandomForest,7.007219310162842,9.564144216661306,26304,20889.0,5223.0
GIURGIULESTI,intrare_auto,24,HistGradientBoosting,7.401249332590109,9.718841881937868,26304,20889.0,5223.0
SCULENI,intrare_auto,24,HistGradientBoosting,13.23846902648158,18.402757942017622,26304,20889.0,5223.0
LEUSENI,intrare_auto,24,HistGradientBoosting,13.595033234213886,18.62323544746188,26304,20889.0,5223.0
