pctf,target,horizon,model,mae,rmse,n_rows_pctf,n_train,n_test
CLOCUSNA,intrare_auto,1,Baseline_yesterday,0.24882039573820397,0.6830464928652552,26304,,
CLOCUSNA,intrare_auto,1,HistGradientBoosting,0.21888548435431604,0.4403956166350922,26304,20908.0,5227.0
CLOCUSNA,intrare_auto,1,RandomForest,0.2324011677530009,0.49962956279677767,26304,20908.0,5227.0
CLOCUSNA,intrare_auto,3,Baseline_yesterday,0.24882039573820397,0.6830464928652552,26304,,
CLOCUSNA,intrare_auto,3,HistGradientBoosting,0.2190335968825771,0.43889664384403254,26304,20906.0,5227.0
CLOCUSNA,intrare_auto,3,RandomForest,0.2314210506695454,0.48831835556698683,26304,20906.0,5227.0
CLOCUSNA,intrare_auto,24,Baseline_yesterday,0.24882039573820397,0.6830464928652552,26304,,
CLOCUSNA,intrare_auto,24,HistGradientBoosting,0.2188437527214124,0.43924636081621665,26304,20889.0,5223.0
CLOCUSNA,intrare_auto,24,RandomForest,0.22717253549055103,0.4933294895044353,26304,20889.0,5223.0
COSTESTI,iesire_auto,1,Baseline_yesterday,6.4535007610350075,8.58171394929114,26304,,
COSTESTI,iesire_auto,1,HistGradientBoosting,4.32722132514512,5.601953389617754,26304,20908.0,5227.0
COSTESTI,iesire_auto,1,RandomForest,4.504733275939034,5.8364683134546125,26304,20908.0,5227.0
COSTESTI,iesire_auto,3,Baseline_yesterday,6.4535007610350075,8.58171394929114,26304,,
COSTESTI,iesire_auto,3,HistGradientBoosting,4.339390658243131,5.599702001271312,26304,20906.0,5227.0
COSTESTI,iesire_auto,3,RandomForest,4.525223305957164,5.846685116925039,26304,20906.0,5227.0
COSTESTI,iesire_auto,24,Baseline_yesterday,6.4535007610350075,8.58171394929114,26304,,
COSTESTI,iesire_auto,24,HistGradientBoosting,4.338638763382978,5.646221652743484,26304,20889.0,5223.0
COSTESTI,iesire_auto,24,RandomForest,4.516360855829982,5.87151025834669,26304,20889.0,5223.0
COSTESTI,intrare_auto,1,Baseline_yesterday,6.44410197869102,8.768411809563945,26304,,
COSTESTI,intrare_auto,1,HistGradientBoosting,4.422516844447257,5.798765590169302,26304,20908.0,5227.0
COSTESTI,intrare_auto,1,RandomForest,4.58621537210637,6.027384376501757,26304,20908.0,5227.0
COSTESTI,intrare_auto,3,Baseline_yesterday,6.44410197869102,8.768411809563945,26304,,
COSTESTI,intrare_auto,3,HistGradientBoosting,4.421210062675082,5.796561131067325,26304,20906.0,5227.0
COSTESTI,intrare_auto,3,RandomForest,4.625752893629233,6.074746519623538,26304,20906.0,5227.0
COSTESTI,intrare_auto,24,Baseline_yesterday,6.44410197869102,8.768411809563945,26304,,
COSTESTI,intrare_auto,24,HistGradientBoosting,4.436909970200801,5.811404881120927,26304,20889.0,5223.0
COSTESTI,intrare_auto,24,RandomForest,4.622413354849885,6.04891923604492,26304,20889.0,5223.0
CRIVA,iesire_auto,1,Baseline_yesterday,5.036491628614916,7.10613440055291,26304,,
CRIVA,iesire_auto,1,HistGradientBoosting,3.4983794338206637,4.773575517320114,26304,20908.0,5227.0
CRIVA,iesire_auto,1,RandomForest,3.551226197119049,4.83034606400006,26304,20908.0,5227.0
CRIVA,iesire_auto,3,Baseline_yesterday,5.036491628614916,7.10613440055291,26304,,
CRIVA,iesire_auto,3,HistGradientBoosting,3.5468991576411675,4.835755366428547,26304,20906.0,5227.0
CRIVA,iesire_auto,3,RandomForest,3.6781383777683643,5.021444489248983,26304,20906.0,5227.0
CRIVA,iesire_auto,24,Baseline_yesterday,5.036491628614916,7.10613440055291,26304,,
CRIVA,iesire_auto,24,HistGradientBoosting,3.4200212409956388,4.586615775780648,26304,20889.0,5223.0
CRIVA,iesire_auto,24,RandomForest,3.526861699169424,4.722223506067279,26304,20889.0,5223.0
CRIVA,intrare_auto,1,Baseline_yesterday,5.423592085235921,7.543662857993357,26304,,
